url,target_keyword,title,h1,meta_description,priority
/,modular homes South Africa,MODULUX — Modular Homes Cape Town | The Modern Way of Housing,The Modern Way of Housing,Precision-engineered modular homes built in Cape Town. Standard Premium and Granny Flat designs from R620k. NHBRC registered. Delivered nationwide.,P0
/designs,modular home designs South Africa,Modular Home Designs South Africa | MODULUX,Our Home Designs,Browse MODULUX Standard Premium and Granny Flat modular home designs. Filter by bedrooms price and size. From R620k.,P0
/designs/the-stellenbosch,premium modular home Cape Town,The Stellenbosch — Premium Modular Home | MODULUX,The Stellenbosch,Luxury premium modular home design. 4 bed 3 bath 220m² from R1.85M. Factory-built in Cape Town delivered to your site.,P1
/designs/the-karoo,granny flat modular South Africa,The Karoo — Granny Flat Design | MODULUX,The Karoo,Compact modular granny flat from R620k. 1 bed 1 bath 45m². Ideal for rental income or extended family. Western Cape delivery.,P1
/commercial,modular commercial buildings South Africa,Modular Commercial Buildings | MODULUX,Commercial Modular Solutions,Modular offices schools clinics and workforce accommodation. Built in Cape Town delivered anywhere in South Africa.,P1
/display-village,modular home showroom Cape Town,Display Village — Visit Our Showroom | MODULUX,Display Village,Visit MODULUX Display Village in Bellville Cape Town. Walk through finished modular homes before you buy. Book a viewing today.,P1
/about,NHBRC modular homes Cape Town,About MODULUX — Cape Town Modular Home Builder,About MODULUX,South Africa's precision modular home builder. NHBRC registered factory in Bellville. 500+ homes delivered nationwide.,P1
/contact,modular home quote Cape Town,Contact MODULUX — Get a Quote,Contact Us,Request a modular home quote or book a Display Village visit. Call email or WhatsApp our Cape Town team today.,P1
/blog,modular homes blog South Africa,Modular Homes Blog | MODULUX,Insights & Guides,Expert guides on modular home costs regulations timelines and NHBRC compliance in South Africa.,P1
/blog/modular-vs-traditional-build-cost-south-africa,modular vs traditional build cost South Africa,Modular vs Traditional Build Cost in South Africa | MODULUX,Modular vs Traditional Build Cost in South Africa,Compare modular and brick-and-mortar build costs in South Africa. Hidden costs timelines and total cost of ownership explained.,P1
/blog/granny-flat-regulations-western-cape,granny flat regulations Western Cape,Granny Flat Regulations Western Cape | MODULUX,Granny Flat Regulations in the Western Cape,Western Cape granny flat rules zoning size limits and approval process explained for homeowners and investors.,P1
/blog/nhbrc-modular-homes-explained,NHBRC modular homes,NHBRC and Modular Homes Explained | MODULUX,NHBRC and Modular Homes Explained,What NHBRC registration means for modular home buyers. Warranties compliance and how to verify your builder.,P1
/blog/90-day-modular-home-timeline,modular home build timeline South Africa,90-Day Modular Home Timeline | MODULUX,Your 90-Day Modular Home Timeline,Step-by-step modular home build and delivery timeline from design sign-off to keys in hand in South Africa.,P1
